OBJECT_NAME,OBJECT_TYPE,SOURCE_LOCATION,TARGET_LOCATION
prd_oph_main_hier_d_v_OPH,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
prd_oph_main_hier_d_v,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
replace_details,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
replace_reporting_fact,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
rule_engine_replace,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
replacement_systems_available,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
upgrade_elicense_data,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
upgrade_mr_coilinfo_dtl,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
upgrade_reporting_stage_tab_ib_universe,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
vw_mr_optionkeys_form2,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
vw_replacement_average_mnth_data,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
vw_sfdc_reporting_fact,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
vw_upgrade_reporting_fact_il,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
upgrade_sfdc_comments_insert,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
vw_machine_average_daily_data_dtl,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
ct_optionkeys_form2,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
gl_cost_center_country_hier,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
mr_optionkeys_form2,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
rule_engine,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
upgrade_details,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
upgrade_reporting_fact,all_items,/Service Data Analytics/IB Upgrades/Columns/,/Service Data Analytics/Upgrades Dashboard/Pivotal Tables/
Replace_fact - prd_oph_main_hier_d_v  Inner Join,join,/Service Data Analytics/IB Upgrades/Joins/,/Service Data Analytics/Upgrades Dashboard/Joins/
